FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,first10secs,first30secs,last10secs,last30secs,shortResponse,Interval1,Interval2,Overlap1,Overlap2,Volume1,Volume2,Volume3,Pause1,Pause2,Pause3,TalkLength,Speed1,Speed2,Speed3,Speed4,Speed5,Speed6,Pitch1,Pitch2,Pitch3,Pitch4,cs
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320.wav,1,1,7,7,1,2,3,3,2023/01/09/12:50:04,00:00:00.0,00:00:02.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,5.7,3.5,6.6,0,0,5,2,3.3,7.1,6.8,1.5,2.1,10,8.5,5.4,5.7,4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320.wav,2,2,10,4,10,9,1,8,2023/01/09/12:50:04,00:00:02.0,00:00:04.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6.8,6.8,2.9,0,0,5,2,1,0,5,1.5,0.7,6,8.5,4.6,4.4,4.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320.wav,3,2,10,4,10,9,1,10,2023/01/09/12:50:04,00:00:04.0,00:00:06.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6.7,6.5,0.3,0,0,5,2,5.4,5.9,5,0.5,0,6,8.5,5.5,4.2,5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320.wav,4,2,10,4,10,9,1,9,2023/01/09/12:50:04,00:00:06.0,00:00:08.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6.8,6.4,3.2,0,0,5,2,10,5.6,0,1,0,5,7.8,5.1,5.3,6.3,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320.wav,5,2,10,4,10,9,1,11,2023/01/09/12:50:04,00:00:08.0,00:00:10.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6.8,7.6,0.2,0,0,5,2,10,3.9,5,1,0,5,8.5,5.3,3.7,4.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320.wav,6,2,10,4,10,9,1,9,2023/01/09/12:50:04,00:00:10.0,00:00:12.0,1,OK,-,-,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6.6,6.1,3.2,0,0,5,2,3.5,5.8,3.5,1.5,0.7,10,8.5,5.4,3.2,2.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320.wav,7,2,10,4,10,9,1,9,2023/01/09/12:50:04,00:00:12.0,00:00:14.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6.7,6.7,5.3,0,0,5,2,7.8,6.6,6.3,1,0,5,8.8,4.9,6.2,6.1,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320.wav,8,1,4,4,1,2,1,4,2023/01/09/12:50:04,00:00:14.0,00:00:16.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6.2,4.2,5.9,0,0,5,2,4.5,6.9,7.9,1.5,0,10,9,5,4.2,4.6,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320.wav,9,3,9,4,1,9,1,10,2023/01/09/12:50:04,00:00:16.0,00:00:18.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6.2,5.5,4.1,0,0,5,2,9.8,2.2,5,1.5,0.7,6,8.6,6.8,3.2,4.6,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320.wav,10,2,10,4,10,9,1,7,2023/01/09/12:50:04,00:00:18.0,00:00:20.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6.7,6.2,4,0,0,5,2,8.4,4.3,7.5,2,0,7,8.5,4.4,5.2,5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320.wav,11,4,10,2,1,2,10,-5,2023/01/09/12:50:04,00:00:20.0,00:00:22.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.4,2,5.5,0,0,5,2,5.9,5.3,4.8,1.5,1.4,10,8.4,4.3,5.7,5.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320.wav,12,2,10,4,10,9,1,5,2023/01/09/12:50:04,00:00:22.0,00:00:24.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6.9,6.5,3.6,0,0,5,2,3.3,5.7,3.1,1,0,5,8.4,3.6,5.3,5.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320.wav,13,2,10,4,10,9,1,3,2023/01/09/12:50:04,00:00:24.0,00:00:26.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6.4,5.6,5.1,0,0,5,2,10,0,5,0.5,0,6,8.6,3.3,4.2,4.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\F2mp_download_twitter_wav_320.wav,14,2,10,4,10,9,1,5,2023/01/09/12:50:04,00:00:26.0,00:00:28.0,1,OK,-,-,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6.4,4.9,3.6,0,0,5,2,4.4,7.8,4.4,1,0,5,8.3,4.8,5.2,6.6,0
